Pref,YearMonth,Y,Y_severe,Y_mild,Z_mild_1,Z_mild_2,Z_mild_3,Z_severe_1,Z_severe_2,Z_severe_3,pop
5101,2009/1/1,35,0,35,0,0,0,0,0,0,13735535
5101,2009/2/1,49,0,49,0,0,0,0,0,0,13735535
5101,2009/3/1,337,0,337,0,1,1,0,0,0,13735535
5101,2009/4/1,1133,0,1133,0,7,1,0,0,0,13735535
5101,2009/5/1,1016,2,1014,0,4,6,0,1,1,13735535
5101,2009/6/1,940,0,940,0,6,2,0,0,0,13735535
5101,2009/7/1,870,2,868,0,0,2,0,1,0,13735535
5101,2009/8/1,449,0,449,0,2,0,0,0,0,13735535
5101,2009/9/1,604,2,602,0,0,0,0,2,0,13735535
5101,2009/10/1,930,0,930,1,1,0,0,0,0,13735535
5101,2009/11/1,1523,1,1522,4,0,0,0,1,0,13735535
5101,2009/12/1,1242,2,1240,4,1,2,0,0,0,13735535
5101,2010/1/1,1375,0,1375,0,0,0,0,0,0,14047040
5101,2010/2/1,508,1,507,6,4,0,0,0,1,14047040
5101,2010/3/1,2160,0,2160,28,5,1,0,0,0,14047040
5101,2010/4/1,5698,13,5685,28,8,3,2,8,2,14047040
5101,2010/5/1,4302,7,4295,10,6,4,0,2,2,14047040
5101,2010/6/1,2069,11,2058,6,10,3,0,3,4,14047040
5101,2010/7/1,1469,14,1455,3,7,2,0,4,4,14047040
5101,2010/8/1,501,6,495,5,5,2,0,4,0,14047040
5101,2010/9/1,416,9,407,2,3,2,1,2,1,14047040
5101,2010/10/1,364,6,358,0,4,1,0,3,2,14047040
5101,2010/11/1,577,4,573,1,4,3,0,3,0,14047040
5101,2010/12/1,596,7,589,0,0,1,0,3,3,14047040
5101,2011/1/1,274,1,273,0,0,0,0,1,0,14276993
5101,2011/2/1,106,0,106,0,0,0,0,0,0,14276993
5101,2011/3/1,582,10,572,0,14,3,0,4,2,14276993
5101,2011/4/1,1588,27,1561,1,30,4,0,18,0,14276993
5101,2011/5/1,2695,31,2664,11,85,10,0,25,3,14276993
5101,2011/6/1,3118,56,3062,1,55,8,0,30,4,14276993
5101,2011/7/1,1981,59,1922,3,63,12,0,32,5,14276993
5101,2011/8/1,863,19,844,4,18,1,0,11,0,14276993
5101,2011/9/1,814,22,792,10,21,6,1,15,0,14276993
5101,2011/10/1,1411,20,1391,29,20,10,1,8,4,14276993
5101,2011/11/1,3252,26,3226,35,16,4,2,11,1,14276993
5101,2011/12/1,2590,14,2576,18,10,0,1,4,0,14276993
5101,2012/1/1,820,5,815,8,2,0,3,0,0,14435054
5101,2012/2/1,931,8,923,22,4,1,0,3,0,14435054
5101,2012/3/1,2193,9,2184,55,2,7,3,0,2,14435054
5101,2012/4/1,3206,19,3187,46,5,17,6,5,1,14435054
5101,2012/5/1,4052,34,4018,72,2,22,8,5,6,14435054
5101,2012/6/1,3407,24,3383,43,10,14,7,1,6,14435054
5101,2012/7/1,1972,24,1948,28,5,33,3,3,5,14435054
5101,2012/8/1,1066,4,1062,16,5,50,0,3,0,14435054
5101,2012/9/1,1106,6,1100,14,0,37,1,2,0,14435054
5101,2012/10/1,1787,8,1779,11,4,63,0,2,5,14435054
5101,2012/11/1,1799,8,1791,6,4,22,0,2,1,14435054
5101,2012/12/1,1135,5,1130,1,8,17,0,2,1,14435054
5101,2013/1/1,530,6,524,0,5,7,0,1,0,14539172
5101,2013/2/1,208,1,207,0,3,3,0,1,0,14539172
5101,2013/3/1,651,12,639,2,12,10,0,4,2,14539172
5101,2013/4/1,1634,39,1595,4,70,21,0,23,5,14539172
5101,2013/5/1,2385,80,2305,3,71,38,1,31,15,14539172
5101,2013/6/1,2627,95,2532,4,52,33,0,24,18,14539172
5101,2013/7/1,2236,124,2112,5,41,54,0,28,23,14539172
5101,2013/8/1,1282,45,1237,4,14,27,0,10,7,14539172
5101,2013/9/1,1777,37,1740,2,9,73,0,8,13,14539172
5101,2013/10/1,2871,30,2841,3,8,93,1,1,13,14539172
5101,2013/11/1,3917,40,3877,4,10,124,1,9,12,14539172
5101,2013/12/1,2124,18,2106,1,4,44,1,2,3,14539172
5101,2014/1/1,1099,14,1085,2,6,23,1,2,6,14607324
5101,2014/2/1,823,12,811,8,3,10,1,5,2,14607324
5101,2014/3/1,4003,25,3978,25,19,37,0,6,6,14607324
5101,2014/4/1,6396,76,6320,55,18,94,7,12,29,14607324
5101,2014/5/1,3827,55,3772,63,28,56,4,20,17,14607324
5101,2014/6/1,3606,70,3536,72,25,59,8,23,18,14607324
5101,2014/7/1,3444,43,3401,21,15,49,4,5,18,14607324
5101,2014/8/1,1583,40,1543,25,6,24,5,2,13,14607324
5101,2014/9/1,2713,29,2684,30,3,47,0,1,9,14607324
5101,2014/10/1,4730,39,4691,35,16,73,2,4,15,14607324
5101,2014/11/1,5097,28,5069,15,6,57,3,4,7,14607324
5101,2014/12/1,3090,10,3080,15,5,34,0,1,3,14607324
5101,2015/1/1,1719,6,1713,13,4,31,0,1,5,14657485
5101,2015/2/1,752,3,749,1,2,17,0,2,0,14657485
5101,2015/3/1,1158,10,1148,8,10,34,0,3,3,14657485
5101,2015/4/1,3206,39,3167,35,21,95,1,10,10,14657485
5101,2015/5/1,3100,45,3055,23,31,99,0,15,15,14657485
5101,2015/6/1,3048,64,2984,16,25,102,0,19,23,14657485
5101,2015/7/1,2824,31,2793,16,11,125,1,6,8,14657485
5101,2015/8/1,971,8,963,3,2,32,0,2,1,14657485
5101,2015/9/1,1194,6,1188,0,5,60,0,3,3,14657485
5101,2015/10/1,2420,15,2405,8,11,124,1,7,3,14657485
5101,2015/11/1,4113,13,4100,9,12,104,0,1,5,14657485
5101,2015/12/1,4373,14,4359,7,10,96,0,7,5,14657485
5103,2009/1/1,2,0,2,0,0,0,0,0,0,2678108
5103,2009/2/1,1,0,1,0,0,0,0,0,0,2678108
5103,2009/3/1,5,0,5,0,0,0,0,0,0,2678108
5103,2009/4/1,21,0,21,0,3,0,0,0,0,2678108
5103,2009/5/1,14,0,14,0,0,0,0,0,0,2678108
5103,2009/6/1,24,0,24,0,0,0,0,0,0,2678108
5103,2009/7/1,15,0,15,0,0,0,0,0,0,2678108
5103,2009/8/1,8,0,8,0,0,0,0,0,0,2678108
5103,2009/9/1,15,0,15,0,0,0,0,0,0,2678108
5103,2009/10/1,25,0,25,0,0,0,0,0,0,2678108
5103,2009/11/1,97,0,97,0,0,0,0,0,0,2678108
5103,2009/12/1,79,0,79,0,0,0,0,0,0,2678108
5103,2010/1/1,85,0,85,0,0,0,0,0,0,2678986
5103,2010/2/1,46,0,46,0,0,0,0,0,0,2678986
5103,2010/3/1,80,0,80,0,0,0,0,0,0,2678986
5103,2010/4/1,208,0,208,14,2,3,0,0,0,2678986
5103,2010/5/1,218,0,218,5,0,0,0,0,0,2678986
5103,2010/6/1,158,0,158,0,1,0,0,0,0,2678986
5103,2010/7/1,102,0,102,0,1,0,0,0,0,2678986
5103,2010/8/1,23,0,23,0,0,0,0,0,0,2678986
5103,2010/9/1,46,1,45,0,0,0,0,1,0,2678986
5103,2010/10/1,25,0,25,0,0,0,0,0,0,2678986
5103,2010/11/1,18,0,18,0,0,0,0,0,0,2678986
5103,2010/12/1,18,0,18,0,0,0,0,0,0,2678986
5103,2011/1/1,18,0,18,0,0,0,0,0,0,2687637
5103,2011/2/1,9,0,9,0,0,0,0,0,0,2687637
5103,2011/3/1,26,0,26,0,0,1,0,0,0,2687637
5103,2011/4/1,56,0,56,5,0,0,0,0,0,2687637
5103,2011/5/1,79,1,78,3,1,0,0,0,0,2687637
5103,2011/6/1,93,0,93,0,2,0,0,0,0,2687637
5103,2011/7/1,105,0,105,0,1,0,0,0,0,2687637
5103,2011/8/1,34,0,34,0,0,0,0,0,0,2687637
5103,2011/9/1,35,0,35,0,0,0,0,0,0,2687637
5103,2011/10/1,86,0,86,0,0,1,0,0,0,2687637
5103,2011/11/1,183,1,182,8,3,1,0,0,0,2687637
5103,2011/12/1,148,0,148,2,2,0,0,0,0,2687637
5103,2012/1/1,52,0,52,1,0,0,0,0,0,2702680
5103,2012/2/1,40,0,40,0,0,0,0,0,0,2702680
5103,2012/3/1,73,0,73,3,1,4,0,0,0,2702680
5103,2012/4/1,119,1,118,11,1,1,0,1,0,2702680
5103,2012/5/1,236,0,236,20,0,1,0,0,0,2702680
5103,2012/6/1,124,0,124,1,0,0,0,0,0,2702680
5103,2012/7/1,50,0,50,0,0,0,0,0,0,2702680
5103,2012/8/1,37,0,37,0,0,1,0,0,0,2702680
5103,2012/9/1,24,0,24,0,0,0,0,0,0,2702680
5103,2012/10/1,58,0,58,0,0,0,0,0,0,2702680
5103,2012/11/1,24,0,24,0,0,0,0,0,0,2702680
5103,2012/12/1,29,0,29,0,0,0,0,0,0,2702680
5103,2013/1/1,14,0,14,0,0,0,0,0,0,2722519
5103,2013/2/1,6,0,6,0,0,0,0,0,0,2722519
5103,2013/3/1,17,0,17,0,0,0,0,0,0,2722519
5103,2013/4/1,52,0,52,1,0,0,0,0,0,2722519
