"Pref","Year","Y","Y_severe","Y_mild","Z_mild_1","Z_mild_2","Z_mild_3","Z_severe_1","Z_severe_2","Z_severe_3","pop"
5101,2009,9128,9,9119,9,22,14,0,5,1,13735535
5101,2010,20035,78,19957,89,56,22,3,32,19,14047040
5101,2011,19274,285,18989,112,332,58,5,159,19,14276993
5101,2012,23474,154,23320,322,51,283,31,28,27,14435054
5101,2013,22242,527,21715,32,299,527,4,142,111,14539172
5101,2014,40411,441,39970,366,150,563,35,85,143,14607324
5101,2015,28878,254,28624,139,144,919,3,76,81,14657485
5103,2009,306,0,306,0,3,0,0,0,0,2678108
5103,2010,1027,1,1026,19,4,3,0,1,0,2678986
5103,2011,872,2,870,18,9,3,0,0,0,2687637
5103,2012,866,1,865,36,2,7,0,1,0,2702680
5103,2013,1229,4,1225,2,18,8,0,3,0,2722519
5103,2014,1731,1,1730,11,6,19,0,1,0,2745554
5103,2015,1140,0,1140,11,11,121,0,0,0,2770189
5104,2009,593,0,593,0,0,0,0,0,0,1206611
5104,2010,1125,0,1125,31,9,2,0,0,0,1213991
5104,2011,338,0,338,12,11,2,0,0,0,1219746
5104,2012,947,4,943,33,51,16,0,4,0,1224133
5104,2013,889,6,883,13,46,44,0,3,1,1227493
5104,2014,1460,53,1407,16,52,33,0,24,10,1230168
5104,2015,1292,6,1286,80,13,53,2,3,1,1232501
5105,2009,122,0,122,2,3,4,0,0,0,4220412
5105,2010,347,2,345,38,17,32,0,1,0,4218006
5105,2011,513,4,509,86,7,31,2,0,0,4222323
5105,2012,737,0,737,58,72,58,0,0,0,4232718
5105,2013,679,0,679,33,57,85,0,0,0,4247674
5105,2014,1649,6,1643,132,79,116,0,2,0,4265672
5105,2015,1495,0,1495,32,65,188,0,0,0,4285191
5106,2009,1146,2,1144,0,1,0,0,0,1,3635182
5106,2010,2310,5,2305,5,1,3,0,2,0,3616060
5106,2011,1610,4,1606,1,91,17,0,3,0,3596298
5106,2012,2103,6,2097,39,18,51,0,1,1,3575997
5106,2013,2384,26,2358,8,99,66,0,3,7,3555292
